city,date,temp_min,temp_max,temp_avg,humidity_avg,wind_avg
Amsterdam,2026-06-23,24.67,27.39,26.393333333333334,63.0,2.68
Amsterdam,2026-06-24,20.54,33.56,27.00875,56.75,2.13375
Amsterdam,2026-06-25,20.48,32.05,26.31875,63.25,3.97
Amsterdam,2026-06-26,20.61,37.41,28.612499999999997,53.5,3.79875
Amsterdam,2026-06-27,21.45,35.36,27.245,54.625,2.7725
Amsterdam,2026-06-28,19.83,25.79,22.344,76.6,4.484
Berlin,2026-06-23,24.81,28.49,27.11,42.333333333333336,3.0766666666666667
Berlin,2026-06-24,17.78,30.63,26.23375,44.375,1.71125
Berlin,2026-06-25,20.98,32.73,27.90625,48.625,2.715
Berlin,2026-06-26,19.46,33.27,26.87,39.25,2.22875
Berlin,2026-06-27,22.63,37.74,30.77375,39.25,2.61125
Berlin,2026-06-28,26.6,38.48,31.826,39.4,2.868
London,2026-06-23,26.85,32.01,29.776666666666667,48.666666666666664,3.483333333333333
London,2026-06-24,22.02,32.94,27.11375,52.625,2.88375
London,2026-06-25,20.28,32.1,26.28625,56.5,4.8225
London,2026-06-26,23.21,36.41,29.68875,45.5,3.82375
London,2026-06-27,22.06,32.56,26.72375,48.625,2.8125
London,2026-06-28,20.05,25.25,22.240000000000002,59.0,4.612
Madrid,2026-06-23,35.5,37.73,36.85333333333333,13.333333333333334,4.72
Madrid,2026-06-24,26.59,38.14,31.50875,21.75,4.203749999999999
Madrid,2026-06-25,24.51,31.76,28.240000000000002,28.0,5.5175
Madrid,2026-06-26,21.68,32.3,27.54875,30.0,3.41875
Madrid,2026-06-27,23.65,32.98,28.807499999999997,26.375,3.5225
Madrid,2026-06-28,24.02,33.25,27.701999999999998,23.6,2.282
Munich,2026-06-23,26.25,32.22,29.939999999999998,52.333333333333336,2.4233333333333333
Munich,2026-06-24,18.26,32.7,26.2675,65.375,2.03
Munich,2026-06-25,18.49,30.09,24.69,61.5,2.95875
Munich,2026-06-26,16.99,30.75,24.2825,62.125,2.3362499999999997
Munich,2026-06-27,18.9,33.92,26.3,60.875,1.67625
Munich,2026-06-28,17.95,31.3,23.23,68.8,3.4859999999999998
Paris,2026-06-23,33.92,37.87,36.53333333333333,27.333333333333332,2.56
Paris,2026-06-24,27.06,40.66,34.055,30.875,2.2375
Paris,2026-06-25,27.52,40.95,34.411249999999995,31.0,4.22875
Paris,2026-06-26,28.74,39.74,33.2525,30.625,3.41375
Paris,2026-06-27,25.32,37.01,30.38375,41.5,3.34
Paris,2026-06-28,21.77,30.77,24.612000000000002,65.8,3.714
Rome,2026-06-23,22.45,23.83,23.166666666666668,72.66666666666667,4.663333333333333
Rome,2026-06-24,17.96,29.07,22.86625,67.0,1.42375
Rome,2026-06-25,17.99,32.79,25.07,66.375,0.9974999999999999
Rome,2026-06-26,20.98,32.57,26.25125,72.0,2.0862499999999997
Rome,2026-06-27,21.35,34.2,26.86625,73.5,2.44625
Rome,2026-06-28,22.42,28.86,24.754,78.8,1.574
Vienna,2026-06-23,27.36,30.32,29.213333333333335,50.333333333333336,2.6133333333333333
Vienna,2026-06-24,21.38,31.6,27.285,48.5,2.15125
Vienna,2026-06-25,23.11,33.27,28.150000000000002,43.625,1.99
Vienna,2026-06-26,21.74,35.61,28.81875,42.75,1.89625
Vienna,2026-06-27,22.66,38.28,30.70125,37.125,2.31125
Vienna,2026-06-28,24.44,38.53,30.936,37.0,2.408
